,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
13803,13803,-4528787.296794117,-4529058.382691736,-1867844.6260631771,1530.6967451336711,1529.691509939614,-7420.397076275752,50.5,6671668.80405541,0,0.0008699998902495042,2.316935893078645,0,0.000333082569997194,0,0,0.6935464286896001,0.9761855834542874
13804,13804,-4527253.560999765,-4527525.65195042,-1875263.7679149578,1536.7745004667872,1535.7696298144226,-7417.884967553678,50.5,6671668.792670996,0,0.0008699998902495042,2.3166228761186547,0,0.0003329862942827853,0,0,0.7019023906727364,0.9764091812023058
13805,13805,-4525713.74848075,-4525986.844119225,-1882680.392679383,1542.850193099185,1541.8456883373071,-7415.362902127688,50.5,6671668.781289881,0,0.0008699998902495042,2.316308709990038,0,0.00033288969626880856,0,0,0.7083030691295228,0.980168270045383
13806,13806,-4524167.861303852,-4524441.961263581,-1890094.49040144,1548.923814875706,1547.9196773526182,-7412.8308833829005,50.5,6671668.769912068,0,0.0008699998902495042,2.3159933960831323,0,0.0003327927767599651,0,0,0.7173749799495841,0.9818307132165797
13807,13807,-4522615.901544002,-4522891.005457073,-1897506.0511295085,1554.9953576439716,1553.9915887074842,-7410.288914717793,50.5,6671668.7585375765,0,0.0008699998902495042,2.3156769357912745,0,0.000332695536563153,0,0,0.7036475295120778,0.97855378717974
13808,13808,-4521057.871284284,-4521333.978781437,-1904915.0649153728,1561.0648132543931,1560.0614142518218,-7407.736999544199,50.5,6671668.747166417,0,0.0008699998902495042,2.315359330510786,0,0.000332597976487437,0,0,0.7270145187567871,0.9846701453598091
13809,13809,-4519493.772615928,-4519770.883326556,-1912321.5218142357,1567.1321735601837,1566.1291458383473,-7405.175141287301,50.5,6671668.735798596,0,0.0008699998902495042,2.3150405816409356,0,0.0003325000973440734,0,0,0.6966851953526693,0.9746760573709174
13810,13810,-4517923.6076383125,-4518201.721190461,-1919725.4118847323,1573.1974304173682,1572.1947753225875,-7402.603343385631,50.5,6671668.724434126,0,0.0008699998902495042,2.314720690583925,0,0.0003324018999464131,0,0,0.707863755663065,0.9787256977043107
13811,13811,-4516347.378458956,-4516626.494479326,-1927126.7251889426,1579.260575684795,1578.2582945628903,-7400.0216092910605,50.5,6671668.713073015,0,0.0008699998902495042,2.3143996587448594,0,0.0003323033851100275,0,0,0.723866382723328,0.982733654177838
13812,13812,-4514765.087193519,-4515045.205307463,-1934525.4517924052,1585.3216012241464,1584.3196954204366,-7397.429942468799,50.5,6671668.701715283,0,0.0008699998902495042,2.314077487531722,0,0.0003322045536525507,0,0,0.7132268456595624,0.980244603763238
13813,13813,-4513176.735965796,-4513457.855797324,-1941921.5817641304,1591.38049889995,1590.3789697592497,-7394.828346397387,50.5,6671668.690360931,0,0.0008699998902495042,2.313754178355349,0,0.0003321054063938053,0,0,0.710080847297038,0.9784447224836296
13814,13814,-4511582.326907718,-4511864.448079495,-1949315.1051766141,1597.437260579589,1596.4361094462076,-7392.2168245686935,50.5,6671668.679009973,0,0.0008699998902495042,2.31342973262941,0,0.0003320059441556246,0,0,0.7043950703058309,0.9767663457688077
13815,13815,-4509981.862159345,-4510264.9842926925,-1956706.0121058503,1603.491878133314,1602.4911063510533,-7389.595380487911,50.5,6671668.667662423,0,0.0008699998902495042,2.313104151770378,0,0.0003319061677619984,0,0,0.7029332481917572,0.9769064787448735
13816,13816,-4508375.343868868,-4508659.466583762,-1964094.292631345,1609.5443434342526,1608.5439523464054,-7386.96401767355,50.5,6671668.656318288,0,0.0008699998902495042,2.312777437197506,0,0.00033180607803902395,0,0,0.7474105822526556,0.9886196760408222
