,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_side,eff_back
5122,5122,4433716.331542555,4433421.9992053695,-2280153.86755929,1867.4245724852708,1868.420990132883,7264.043490118781,53.099999999999994,6671749.27550222,1,0.0008699998902495042,0.8439031546715907,0,0.00032594669020788555,0,0,0
5123,5123,4435580.7802137565,4435287.444491522,-2272888.2954776622,1861.4723528383329,1862.4691648713663,7267.099047819436,53.099999999999994,6671749.264903629,1,0.0008699998902495042,0.8435291114394329,0,0.00032605917367767214,0,0,0
5124,5124,4437439.275415405,4437146.936701839,-2265619.6727149696,1855.5176347112636,1856.5148397917897,7270.14485156514,53.099999999999994,6671749.254301389,1,0.0008699998902495042,0.8431561386197746,0,0.0003261713823988876,0,0,0
5125,5125,4439291.814653016,4439000.473340497,-2258348.009027213,1849.5604260965467,1850.5580228861095,7273.180897267787,53.099999999999994,6671749.243695505,1,0.0008699998902495042,0.8427842377284587,0,0.00032628331547025703,0,0,0
5126,5126,4441138.3954401,4440848.051919668,-2251073.3141744733,1843.6007349900096,1844.598722149627,7276.20718085237,53.099999999999994,6671749.233085987,1,0.0008699998902495042,0.8424134102795714,0,0.00032639497199204293,0,0,0
5127,5127,4442979.015298164,4442689.669959519,-2243795.5979209016,1837.638569390811,1838.6369455809772,7279.223698256981,53.099999999999994,6671749.222472843,1,0.0008699998902495042,0.8420436577854217,0,0.00032650635106610013,0,0,0
5128,5128,4444813.671756718,4444525.32498822,-2236514.8700347026,1831.673937301431,1832.672701182118,7282.230445432825,53.099999999999994,6671749.211856079,1,0.0008699998902495042,0.8416749817565174,0,0.0003266174517958463,0,0,0
5129,5129,4446642.362353273,4446355.014541942,-2229231.1402881243,1825.7068467276601,1826.70599695832,7285.227418344219,53.099999999999994,6671749.201235713,1,0.0008699998902495042,0.8413073837015416,0,0.00032672827328630405,0,0,0
5130,5130,4448465.0846333485,4448178.736164864,-2221944.4184574434,1819.7373056785893,1820.7368409181545,7288.214612968597,53.099999999999994,6671749.190611747,1,0.0008699998902495042,0.8409408651273306,0,0.0003268388146440896,0,0,0
5131,5131,4450281.836150476,4449996.487409176,-2214654.7143229526,1813.7653221665978,1814.7652410734847,7291.192025296521,53.099999999999994,6671749.179984191,1,0.0008699998902495042,0.84057542753885,0,0.0003269490749774369,0,0,0
5132,5132,4452092.6144662,4451808.265835081,-2207362.037668948,1807.7909042073434,1808.7912054394535,7294.159651331681,53.099999999999994,6671749.169353055,1,0.0008699998902495042,0.840211072439172,0,0.0003270590533961986,0,0,0
5133,5133,4453897.417150081,4453614.069010798,-2200066.398283715,1801.8140598197515,1802.8147420344728,7297.117487090903,53.099999999999994,6671749.158718348,1,0.0008699998902495042,0.8398478013294528,0,0.00032716874901187685,0,0,0
5134,5134,4455696.241779704,4455413.894512567,-2192767.8059595153,1795.834797026004,1796.8358588802134,7300.065528604153,53.099999999999994,6671749.148080079,1,0.0008699998902495042,0.8394856157089076,0,0.00032727816093765125,0,0,0
5135,5135,4457489.085940673,4457207.739924651,-2185466.2704925747,1789.853123851529,1790.8545640015939,7303.003771914545,53.099999999999994,6671749.137438258,1,0.0008699998902495042,0.8391245170747892,0,0.00032738728828832247,0,0,0
5136,5136,4459275.947226623,4458995.602839339,-2178161.8016830687,1783.86904832499,1784.8708654267696,7305.932213078341,53.099999999999994,6671749.126792898,1,0.0008699998902495042,0.8387645069223633,0,0.00032749613018037487,0,0,0
5137,5137,4461056.823239217,4460777.480856949,-2170854.4093351103,1777.8825784782744,1778.8847711871222,7308.850848164963,53.099999999999994,6671749.116143999,1,0.0008699998902495042,0.8384055867448862,0,0.00032760468573206456,0,0,0
5138,5138,4462831.711588151,4462553.371585836,-2163544.103256737,1771.8937223464834,1772.896289317249,7311.759673256994,53.099999999999994,6671749.105491574,1,0.0008699998902495042,0.8380477580335802,0,0.00032771295406318395,0,0,0
