,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel
3569,3569,-3640067.60440389,-971261.8644816923,-5506258.298546307,6477.679873167188,-732.5600540400558,-4153.014778248423,53.099999999999994,6671761.976266669,0,0.8380510420574006,2.1478936736873004,0,0.0003344222685951886,0
3570,3570,-3633587.483132401,-971993.7725575498,-5510407.617142907,6482.561220213579,-731.2559339455297,-4145.621486742412,53.099999999999994,6671761.965395877,0,0.8386825657982008,2.1467351394150938,0,0.0003343270806463716,0
3571,3571,-3627102.48486375,-972724.3760224165,-5514549.539665024,6487.433866398574,-729.9508323503306,-4138.222630932454,53.099999999999994,6671761.954528185,0,0.8393129638620359,2.145576605137955,0,0.00033423195308741405,0
3572,3572,-3620612.618302071,-973453.6738956674,-5518684.060553315,6492.297805181965,-728.6447510061558,-4130.818220749236,53.099999999999994,6671761.943663578,0,0.8399422354027741,2.144418070855887,0,0.00033413688673907216,0
3573,3573,-3614117.89215803,-974181.6651984301,-5522811.1742583765,6497.15303003523,-727.337691666018,-4123.408266130905,53.099999999999994,6671761.932802065,0,0.8405703795757953,2.1432595365688916,0,0.0003340418824203799,0
3574,3574,-3607618.3151488164,-974908.3489535856,-5526930.875240747,6501.999534441544,-726.0296560842423,-4115.992777023042,53.099999999999994,6671761.9219436385,0,0.8411973955379927,2.1421010022769713,0,0.0003339469409485971,0
3575,3575,-3601113.895998131,-975633.7241857699,-5531043.157970911,6506.837311895786,-724.7206460164647,-4108.571763378665,53.099999999999994,6671761.9110883,0,0.8418232824477738,2.1409424679801288,0,0.00033385206313922637,0
3576,3576,-3594604.643436174,-976357.7899213755,-5535148.016929313,6511.666355904547,-723.4106632196286,-4101.145235158204,53.099999999999994,6671761.900236043,0,0.8424480394650613,2.139783933678366,0,0.0003337572498060562,0
3577,3577,-3588090.566199631,-977080.5451885521,-5539245.446606358,6516.4866599861425,-722.0997094519835,-4093.71320232949,53.099999999999994,6671761.889386863,0,0.8430716657512948,2.138625399371686,0,0.00033366250176109527,0
3578,3578,-3581571.673031667,-977801.9890172089,-5543335.441502427,6521.298217670616,-720.7877864730821,-4086.275674867743,53.099999999999994,6671761.878540767,0,0.8436941604694311,2.137466865060091,0,0.00033356781981460346,0
3579,3579,-3575047.9726819084,-978522.1204390147,-5547417.996127876,6526.101022499753,-719.4748960437777,-4078.8326627555593,53.099999999999994,6671761.867697752,0,0.8443155227839464,2.1363083307435833,0,0.0003334732047750589,0
3580,3580,-3568519.4739064346,-979240.9384874004,-5551493.105003051,6530.895068027083,-718.1610399262227,-4071.3841759828965,53.099999999999994,6671761.8568578055,0,0.844935751860836,2.135149796422165,0,0.00033337865744924354,0
3581,3581,-3561986.1854677666,-979958.4421975589,-5555560.762658289,6535.680347817897,-716.846219883865,-4063.93022454706,53.099999999999994,6671761.846020935,0,0.8455548468676171,2.1339912620958383,0,0.0003332841786421167,0
3582,3582,-3555448.116134852,-980674.630606448,-5559620.963633926,6540.456855449247,-715.5304376814471,-4056.4708184526908,53.099999999999994,6671761.83518713,0,0.8461728069733283,2.1328327277646073,0,0.00033318976915691227,0
3583,3583,-3548905.2746830583,-981389.5027527905,-5563673.7024803115,6545.224584509963,-714.2136950850025,-4049.0059677117515,53.099999999999994,6671761.824356397,0,0.8467896313485317,2.1316741934284726,0,0.00033309542979507425,0
3584,3584,-3542357.6698941556,-982103.0576770758,-5567718.973757807,6549.983528600655,-712.895993861854,-4041.5356823435122,53.099999999999994,6671761.813528733,0,0.847405319165314,2.130515659087437,0,0.0003330011613562934,0
3585,3585,-3535805.3105563093,-982815.2944215615,-5571756.772036797,6554.733681333723,-711.577335780611,-4034.0599723745386,53.099999999999994,6671761.802704129,0,0.8480198695972871,2.129357124741504,0,0.000332906964638496,0
3586,3586,-3529248.205464066,-983526.2120302743,-5575787.0918977,6559.475036333369,-710.257722611167,-4026.5788478386758,53.099999999999994,6671761.791882588,0,0.8486332818195896,2.1281985903906753,0,0.0003328128404377933,0
3587,3587,-3522686.3634183416,-984235.8095490115,-5579809.927930966,6564.207587235602,-708.937156124698,-4019.092318777039,53.099999999999994,6671761.781064103,0,0.8492455550088879,2.127040056034953,0,0.0003327187895486126,0
3588,3588,-3516119.7932264116,-984944.0860253421,-5583825.2747370945,6568.931327688248,-707.6156380936594,-4011.600395237996,53.099999999999994,6671761.770248675,0,0.8498566883433769,2.1258815216743403,0,0.00033262481276352435,0
